WaypointID;PosXYZ;Connections
0;[1336.81872559  -50.23091507 -103.96875   ];[]
1;[1311.09020996  119.4928894  -103.96875   ];[]
2;[1291.71582031  300.8996582  -157.89553833];[]
3;[1140.40930176  431.88763428 -199.65216064];[]
4;[ 960.12030029  505.92266846 -193.69226074];[]
5;[ 741.66217041  514.53625488 -191.48687744];[]
6;[ 532.05944824  490.7204895  -198.39538574];[]
7;[ 389.90441895  426.12609863 -200.44631958];[]
8;[ 353.03448486  247.04924011 -196.76657104];[]
9;[ 346.02810669    4.98299265 -137.94526672];[]
10;[ 345.34939575 -202.03892517 -100.5798645 ];[]
11;[ 330.37194824 -392.1428833  -104.22180176];[]
12;[ 403.69387817 -530.54516602 -102.61836243];[]
13;[ 425.72793579 -723.34460449  -99.10108948];[]
14;[ 309.38851929 -843.46356201  -99.89665222];[]
15;[ 196.3944397  -805.48419189 -100.40895081];[]
16;[ 121.40620422 -668.81524658 -107.72367859];[]
17;[ 141.60797119 -506.35388184 -102.96875   ];[]
18;[  51.94582367 -429.49914551 -119.96847534];[]
19;[-161.71307373 -437.9546814  -103.96858215];[]
20;[-376.11108398 -424.29586792 -102.95042419];[]
21;[-623.51000977 -399.94406128 -104.37339783];[]
22;[-784.11724854 -273.52896118  -95.96875   ];[]
23;[-793.59802246  -53.68200684 -104.66078186];[]
24;[-826.79547119  144.74685669 -108.94851685];[]
25;[-1014.76239014   211.02864075  -109.70172119];[]
26;[-1201.92797852   202.77210999  -105.07540894];[]
27;[-1285.88024902   204.71786499  -103.96875   ];[]
28;[-1312.25219727   435.83874512  -103.96875   ];[]
29;[-1482.76293945   444.72323608  -103.96875   ];[]
30;[-1573.62634277   444.41641235  -105.08964539];[]
31;[-1583.85266113   319.12167358  -105.44113159];[]
32;[-1574.75634766   204.81567383  -104.197052  ];[]
33;[-1640.3092041    184.74781799  -105.48860168];[]
34;[-1737.77160645    79.72311401  -103.03317261];[]
35;[-1822.71789551   -67.74532318  -102.77365112];[]
36;[-2018.31066895   -97.65483856  -101.96875   ];[]
37;[-2193.13696289   -93.8425827   -103.96875   ];[]
38;[-2299.11767578    14.58709717  -103.96875   ];[]
39;[-2319.55102539   263.56723022  -103.96875   ];[]
40;[-2313.60424805   446.04168701  -103.96875   ];[]
41;[-2196.24462891   534.47991943  -101.71875   ];[]
42;[-1977.89196777   546.5289917   -101.71875   ];[]
43;[-2308.22167969  -219.4964447   -103.18315125];[]
44;[-2300.92138672  -386.99014282  -103.96875   ];[]
45;[-2303.64111328  -537.90704346  -103.96875   ];[]
46;[-2235.7746582   -561.61895752  -103.96875   ];[]
47;[-2022.9552002  -580.2489624  -103.96875  ];[]
48;[-1805.85107422  -630.37078857  -103.96875   ];[]
49;[-1617.49279785  -673.5625      -103.96875   ];[]
50;[-1603.47839355  -799.63330078  -103.96888733];[]
51;[-1591.44177246  -942.36499023  -125.50036621];[]
52;[-1590.01586914 -1153.22973633  -178.77464294];[]
53;[-1586.7545166  -1371.61010742  -201.81558228];[]
54;[-1578.69042969 -1601.68591309  -200.09124756];[]
55;[-1571.91369629 -1824.20336914  -202.47543335];[]
56;[-1545.77185059 -2048.65844727  -201.07406616];[]
57;[-1456.79064941 -2233.19799805  -178.1125946 ];[]
58;[-1242.30322266 -2319.60839844  -130.32147217];[]
59;[-1013.81048584 -2349.38134766  -103.96875   ];[]
60;[ -793.74169922 -2304.8684082   -112.93075562];[]
61;[ -606.32531738 -2226.91064453  -115.96875   ];[]
62;[ -436.61349487 -2085.7890625   -115.96875   ];[]
63;[ -304.56954956 -1901.18322754  -103.96875   ];[]
64;[ -124.32302856 -1760.13830566  -103.96875   ];[]
65;[   75.45651245 -1616.85754395  -105.48283386];[]
66;[  290.26696777 -1575.72399902  -111.96875   ];[]
67;[  505.1055603  -1610.20239258  -199.96875   ];[]
68;[  643.95037842 -1493.48620605  -199.96875   ];[]
69;[  709.25811768 -1264.03149414  -199.96875   ];[]
70;[  790.6852417  -1130.68798828  -196.05239868];[]
71;[  979.51513672 -1088.62817383  -199.96875   ];[]
72;[ 1131.0435791  -1073.56677246  -199.96875   ];[]
73;[1214.87280273 -931.31494141 -198.33770752];[]
74;[1197.32788086 -693.76098633 -166.41911316];[]
75;[1191.41589355 -494.6305542  -117.63111877];[]
76;[1186.26953125 -268.12728882 -103.67420959];[]
77;[  41.34773636 -570.72027588 -118.29000854];[]
78;[-138.38395691 -646.23522949 -160.94786072];[]
79;[-360.88305664 -654.13372803 -206.26391602];[]
80;[-590.62506104 -672.50030518 -208.59225464];[]
81;[-668.75872803 -770.37341309 -197.96875   ];[]
82;[ -651.93511963 -1002.63397217  -151.96875   ];[]
83;[ -649.84765625 -1213.56164551  -103.96875   ];[]
84;[ -648.27624512 -1440.1184082   -103.96875   ];[]
85;[ -638.71759033 -1677.85522461  -109.35411072];[]
86;[ -506.25640869 -1875.5168457   -115.96875   ];[]
87;[-789.13037109 -695.76019287 -204.89215088];[]
88;[-966.69152832 -611.71173096 -207.57540894];[]
89;[-1023.18267822  -527.19854736  -223.96875   ];[]
90;[-1009.73126221  -301.39157104  -303.96875   ];[]
91;[-1009.62005615   -67.03002167  -303.96875   ];[]
92;[-1012.71954346   136.07060242  -303.96875   ];[]
93;[-1013.55859375   346.97540283  -303.96875   ];[]
94;[-976.90985107  459.95245361 -303.96875   ];[]
95;[-724.13739014  460.0642395  -200.05404663];[]
96;[-533.37475586  445.2527771  -120.87893677];[]
97;[-373.59082031  437.18148804  -15.96875   ];[]
98;[-263.21237183  472.44055176  -16.66242218];[]
99;[-265.29983521  625.00585938  -15.96875   ];[]
